epoch,loss,mae,val_loss,val_mae
0,10.907740592956543,2.3419032096862793,13.2588529586792,2.7240257263183594
1,5.523894786834717,1.698032259941101,13.981075286865234,2.7836086750030518
2,4.521719455718994,1.54205322265625,10.376465797424316,2.381507396697998
3,4.014010429382324,1.4557136297225952,11.62491512298584,2.532259941101074
4,3.644810438156128,1.3925728797912598,10.600564956665039,2.4153661727905273
5,3.3986217975616455,1.343551754951477,10.329697608947754,2.3725640773773193
6,3.265333414077759,1.3225374221801758,8.880879402160645,2.1911981105804443
7,3.1251022815704346,1.293354868888855,9.492863655090332,2.279764413833618
8,2.9647016525268555,1.2604783773422241,9.125709533691406,2.210374116897583
9,2.865312337875366,1.2397693395614624,9.62353515625,2.2765209674835205
10,2.7981510162353516,1.226109266281128,8.882803916931152,2.186734437942505
11,2.691857099533081,1.2041665315628052,8.655902862548828,2.1383049488067627
12,2.6185081005096436,1.1857728958129883,10.494236946105957,2.3792715072631836
13,2.572831630706787,1.1773885488510132,9.121675491333008,2.2123098373413086
14,2.5179989337921143,1.1640923023223877,9.079144477844238,2.208604097366333
15,2.449951648712158,1.149233102798462,8.292109489440918,2.0775647163391113
16,2.38985276222229,1.135029911994934,8.785375595092773,2.163200855255127
17,2.3545312881469727,1.1279561519622803,8.543190956115723,2.1303203105926514
18,2.3246772289276123,1.1201010942459106,8.901749610900879,2.191303014755249
19,2.2550337314605713,1.102432370185852,7.973237037658691,2.052198648452759
20,2.2490406036376953,1.1017783880233765,8.97402572631836,2.207089424133301
21,2.178102970123291,1.086258053779602,8.723281860351562,2.1421589851379395
22,2.155437707901001,1.0794830322265625,8.799762725830078,2.1943538188934326
23,2.127249002456665,1.0732961893081665,9.140732765197754,2.2499427795410156
24,2.0913984775543213,1.0643484592437744,8.774226188659668,2.1750683784484863
25,2.0569570064544678,1.054595708847046,8.903125762939453,2.2065019607543945
26,2.022437334060669,1.046621561050415,9.000320434570312,2.217679023742676
27,1.9993088245391846,1.0411083698272705,9.25214958190918,2.2338197231292725
28,1.9713172912597656,1.0335073471069336,8.70725154876709,2.171975612640381
29,1.9665387868881226,1.0317540168762207,8.698838233947754,2.174517869949341
